gene,halflife_rep1,halflife_rep2,halflife_rep3,avg_halflife,n_valid_reps
YGL142C,18.62386594377156,,16.015966579740354,17.319916261755957,2
YHR200W,17.821590628889993,18.942583165946303,15.202402803602926,17.32219219947974,3
YDR308C,15.074698100346097,19.875815741610456,17.062009326775165,17.337507722910573,3
YGR177C,,18.397758437005347,16.277727160673354,17.33774279883935,2
YDL122W,19.139750529034387,21.377202412694345,11.496568650556084,17.337840530761607,3
YBR093C,17.84623729131939,15.083300651373799,19.087744433298518,17.33909412533057,3
YJL179W,16.860236054237845,21.624097438435673,13.541025334920056,17.341786275864525,3
YNL216W,,30.962731591763845,3.7251533073899004,17.343942449576872,2
YDR229W,,17.554078480065296,17.134528520955477,17.344303500510385,2
YNL339C,17.367312972520338,22.772086652347895,11.90834377639835,17.349247800422194,3
YOL138C,,12.059657216645883,22.640996868594176,17.35032704262003,2
YPR041W,23.546702540592864,16.172321148559387,12.34257702180506,17.353866903652435,3
YIL142W,18.73675655630518,18.736958003611832,14.589017011893802,17.354243857270273,3
YEL052W,19.676051576343983,16.534605346295148,15.871580706277111,17.360745876305415,3
YKL068W,,19.87999248222087,14.843716964680521,17.361854723450698,2
YMR060C,,,17.365888544458723,17.365888544458723,1
YGR036C,23.891702970005912,16.495286076582232,11.717275462703288,17.36808816976381,3
YFL031W,15.11746663060562,20.326481826198652,16.66033944973117,17.368095968845147,3
YLR330W,,20.30397137152909,14.437178386652501,17.370574879090796,2
YGR068C,,22.13456645257314,12.613072596448044,17.37381952451059,2
YOL092W,22.119777843133733,12.700907565821478,17.323569649061195,17.38141835267214,3
YBR002C,25.910578233052988,12.52253807224779,13.716576440548673,17.38323091528315,3
YFR041C,14.808572561959704,20.8028884496351,16.54336626658509,17.38494242605996,3
YMR227C,24.76059941090034,20.686848535369506,6.711881559963904,17.386443168744584,3
YDR187C,22.920368913652993,12.284466085383752,16.966607089362885,17.39048069613321,3
YKL184W,8.761585400785705,25.808285431779623,17.60488365995056,17.391584830838628,3
YMR043W,25.401741169214382,16.270987831976306,10.505427659741592,17.392718886977427,3
YOL117W,27.80272854505655,,6.987023704725727,17.394876124891137,2
YMR246W,17.803882476291406,18.939056033901267,15.459360867243335,17.400766459145334,3
YMR149W,18.925212781723882,18.890139980764243,14.390557957807264,17.401970240098464,3
YKL067W,13.114604632973048,25.11632574222768,13.977900609584333,17.40294366159502,3
YLL031C,,23.300026789658812,11.512434082132712,17.40623043589576,2
YER026C,16.93032199808067,,17.88943189500815,17.40987694654441,2
YJL184W,21.97187222193476,13.548956356569324,16.711938585561544,17.410922388021874,3
YDR200C,,,17.41441438998125,17.41441438998125,1
YBR171W,14.228155915706989,22.676764097192667,15.369573791847142,17.424831268248933,3
YFR050C,22.079745147302134,16.449704088888687,13.7610139971301,17.430154411106972,3
YOR025W,28.32614083317823,10.874283428364967,13.101059488466644,17.433827916669948,3
YDL044C,25.599524626459,16.86052315937449,9.842871516188271,17.434306434007254,3
YFL028C,15.157138111593932,,19.715833363815392,17.43648573770466,2
YFL021W,24.903086524611528,,9.98119388952565,17.44214020706859,2
YDL092W,22.252653622742425,14.903686194919912,15.17523666308183,17.44385882691472,3
YBL102W,,17.516240161312187,17.373353666030077,17.444796913671134,2
YOR154W,,,17.449423176247198,17.449423176247198,1
YOL103W,18.52993770707229,19.28674371321307,14.532458196515627,17.44971320560033,3
YBR153W,,21.413249785520847,13.499736152927547,17.456492969224197,2
YMR183C,14.143587185741866,22.71882777413873,15.519578958042116,17.46066463930757,3
YPL075W,15.682942177011832,23.594951501838846,13.169144895836704,17.48234619156246,3
YCL005W,26.996088097216912,10.5801914613191,14.885446245492956,17.487241934676323,3
YML071C,,,17.49029738877859,17.49029738877859,1
YHL004W,27.874788752830277,16.78622057360071,7.83166030749779,17.497556544642926,3
YKL017C,17.539636042933978,,17.460603398791033,17.500119720862507,2
YGR086C,16.351461340977846,20.303212325315414,15.882504551140155,17.512392739144474,3
YBL069W,15.803221079298758,19.835213412126933,16.912148912855713,17.516861134760468,3
YGR044C,20.061953090411222,18.97281238474748,13.528388122354336,17.521051199171016,3
YKL077W,13.429636332226181,16.251861273916003,22.890145732835226,17.52388111299247,3
YPL133C,,16.2359784815777,18.81186408198944,17.523921281783572,2
YMR215W,14.75573313895751,17.861756912284598,19.971831784702637,17.529773945314915,3
YER017C,,18.653515539112146,16.41441049145433,17.533963015283238,2
YOR312C,14.901331365163678,19.43557651292787,18.278827145575793,17.538578341222447,3
YCR037C,15.69730502460305,,19.382497604983087,17.53990131479307,2
YLR233C,24.134436779466554,,10.952356749561995,17.543396764514274,2
YLL034C,21.552301193768958,20.547693765782956,10.530288808959803,17.54342792283724,3
YBR215W,,19.456836026028636,15.650313278616453,17.553574652322546,2
YCR049C,20.159062864502175,17.292052622508958,15.241065812762399,17.564060433257847,3
YML021C,20.174240392321217,17.40082113297074,15.124080851377013,17.56638079222299,3
YGR280C,21.341027685615234,18.865586387975856,12.502430392276667,17.569681488622585,3
YLR083C,27.539511959411357,11.583495717823736,13.620476384139469,17.58116135379152,3
YJR030C,28.56964112160263,5.193809221084266,18.98980641269777,17.584418918461555,3
YGR276C,23.094694363413144,8.053723537230418,21.606170307438063,17.58486273602721,3
YNL270C,13.447103295796058,,21.724482769288876,17.58579303254247,2
YGR031W,18.083124063518426,20.17810585857022,14.49791345544833,17.58638112584566,3
YPR017C,21.468603771206162,,13.706340615404876,17.58747219330552,2
YKR078W,16.546802013262635,,18.63153928951545,17.589170651389043,2
YBR205W,23.151567223778898,14.479387400128934,15.143745424697219,17.59156668286835,3
YDR387C,26.512535108546402,12.981480618043694,13.287592941129926,17.593869555906675,3
YHR068W,15.643573105771734,23.193566213856723,13.96519952249224,17.60077961404023,3
YOR244W,19.049389705186133,16.434986666679347,17.320536934058783,17.60163776864142,3
YNL240C,19.915376825511352,20.36125771754114,12.536270175497894,17.60430157285013,3
YDR056C,19.324914384170764,21.4168138986162,12.129336164969802,17.623688149252256,3
YPR139C,18.386960001270136,19.793175333459683,14.69974209873037,17.626625811153396,3
YKL049C,23.12831611065961,20.83567480738645,8.918427942666888,17.627472953570983,3
YNL150W,13.740272796420431,27.236804657456172,11.913149333235792,17.63007559570413,3
YML030W,,18.93587475712628,16.32661786466399,17.631246310895136,2
YDR211W,21.803471514056888,16.22543085611168,14.864927980982921,17.631276783717162,3
YJL003W,23.961564194044463,7.071846623599085,21.863080203803072,17.63216367381554,3
YJL087C,,24.213251698933135,11.052007378786824,17.63262953885998,2
YDR471W,20.201208310214753,17.134751789231977,15.60169278881375,17.645884296086827,3
YGL123W,15.431654703283087,18.38719035305781,19.126828999237752,17.648558018526217,3
YMR132C,7.585008061016461,24.703433924041896,20.66128633540039,17.649909440152914,3
YKL005C,19.253502542835037,,16.049432010847198,17.651467276841117,2
YLR433C,17.486026052210622,17.84305562981947,17.654960263888324,17.66134731530614,3
YDR545W,17.697430471866692,20.137110509205428,15.165680778283892,17.666740586452004,3
YNL244C,19.62718045025945,15.93190235963382,17.452191560751206,17.670424790214824,3
YNL220W,,,17.670810322225744,17.670810322225744,1
YDL051W,21.79074603800473,13.480593915680437,17.751647101419998,17.67432901836839,3
YNL264C,17.52526506780279,20.43441563347894,15.06457204901782,17.674750916766516,3
YDR306C,17.21310743392556,9.753371635907367,26.063442990907202,17.676640686913377,3
YLR287C,18.09077725829551,,17.282430022105807,17.68660364020066,2
YJL129C,19.042317139764393,,16.338624134717136,17.690470637240765,2
YOR075W,21.099967011744376,6.188750365606078,25.818682484748557,17.70246662069967,3
YOL038W,19.670557942065635,19.159657513225394,14.287404668710069,17.705873374667032,3
YGR229C,13.844999039048554,30.724313383741926,8.571562842278398,17.71362508835629,3
YDL047W,,17.7397565535521,17.68797356421315,17.713865058882625,2
YMR171C,,21.668179252280662,13.769451148788331,17.718815200534497,2
YPR093C,,,17.727016505788114,17.727016505788114,1
YNL023C,24.31306884682616,17.114088131938612,11.757017840716555,17.728058273160443,3
YIL005W,25.557871546560346,,9.901505693435222,17.729688619997784,2
YMR153W,19.223541687794455,19.092117559537915,14.893065987147434,17.7362417448266,3
YIL046W,16.58420071742975,,18.890674539928202,17.737437628678975,2
YIL076W,18.95301391144291,16.546657142469655,17.73555864929732,17.74507656773663,3
YFL043C,18.174407434247406,10.539940356345912,24.521818618769373,17.7453888031209,3
YGR195W,,,17.746581332227247,17.746581332227247,1
YFR021W,36.38216055311745,5.059377158247929,11.858321644115986,17.766619785160454,3
YMR260C,16.44298548686973,,19.093698340616093,17.768341913742912,2
YOR039W,23.637889961452426,16.260405963257814,13.422531837159847,17.773609253956696,3
YMR059W,37.64206350578416,3.8979071214764986,11.786046679768729,17.77533910234313,3
YJR054W,,,17.787995047739177,17.787995047739177,1
YDL240W,24.267949835237047,14.07868070672645,15.05249433129199,17.799708291085164,3
YDR413C,,27.48658813400811,8.116558099013133,17.80157311651062,2
YAL042W,18.949224167111065,18.768347695713953,15.687347782798811,17.80163988187461,3
YOL059W,17.296610921484536,22.11593208945946,14.009794491198194,17.807445834047396,3
YDR324C,17.815384726475084,,,17.815384726475084,1
YGR175C,17.452802046459155,19.57238079676354,16.427724069934722,17.81763563771914,3
YJL069C,31.09577402886134,8.123621676716576,14.233676379516112,17.81769069503134,3
YPL038W,21.175925210530156,18.340868329406767,13.942549243470532,17.819780927802487,3
YBR032W,18.83784779959697,9.62753787179994,25.04031984021533,17.835235170537413,3
YMR312W,24.84490255187599,16.94644245474818,11.71849739351549,17.836614133379886,3
YHR081W,17.614887868726775,19.5201408580032,16.392577347410853,17.84253535804694,3
YNL272C,14.609881757195085,,21.07822494196193,17.84405334957851,2
YKL013C,14.709094226508894,22.75801142570554,16.07984473641206,17.8489834628755,3
YLL027W,,21.29303568522682,14.406458102547912,17.849746893887364,2
YHR166C,17.851056318739356,,,17.851056318739356,1
YHR073W,13.430088168860664,22.229240166518316,17.89826713260815,17.852531822662375,3
YOL130W,,23.018274326000185,12.705189057263693,17.861731691631938,2
YBR172C,,15.950254902219742,19.777600392729546,17.863927647474643,2
YBR084W,18.999883843709114,,16.728613545209765,17.86424869445944,2
YGL011C,18.101808750828404,22.33372559805064,13.160363938240062,17.865299429039702,3
YDR379W,24.87277702538754,7.9855137831171215,20.759777363944607,17.872689390816422,3
YMR025W,30.371851004964384,13.506277363991716,9.741309772251217,17.873146047069103,3
YDL137W,19.222772743052936,19.425009350371866,14.995008678971434,17.880930257465412,3
YIL019W,19.54388083079226,23.805728480570433,10.294892665441122,17.88150065893461,3
YLR003C,19.938838086451323,6.536292449046936,27.172792149159438,17.8826408948859,3
YPL222W,,12.642680116644643,23.129026408289732,17.885853262467187,2
YLR438W,18.895506148295546,20.230482469306608,14.543126992205842,17.889705203269333,3
YDR061W,24.88349802220716,16.376496330574415,12.411029007684842,17.890341120155473,3
YLL058W,16.083660686156225,27.295612911432187,10.312075383881572,17.89711632715666,3
YMR129W,23.555525081656192,,12.240716241049226,17.89812066135271,2
YLL013C,19.374335061243922,14.741737848248514,19.59487725058849,17.90365005336031,3
YOR327C,,23.97518026922119,11.837805635115656,17.906492952168424,2
YBR298C,18.558869689791408,,17.254469975258687,17.906669832525047,2
YDL116W,19.43621835154319,,16.37903617543991,17.90762726349155,2
YPL217C,18.33096523678185,21.05717500478723,14.338889038162039,17.909009759910372,3
YHR024C,,20.76144850366273,15.063629945069856,17.91253922436629,2
YHR030C,,,17.914896977310782,17.914896977310782,1
YHR103W,17.014391385535294,18.59180717220433,18.17539897179869,17.927199176512772,3
YCR065W,25.870699256595497,13.664852070913055,14.279285393567939,17.938278907025495,3
YMR295C,29.16945840720194,12.669390258398018,11.994993803230283,17.944614156276746,3
YGL021W,15.325592305952734,19.117744791080103,19.40855663021023,17.950631242414357,3
YFR027W,33.47301072056826,14.351689819758045,6.0291008060929805,17.951267115473097,3
YOR330C,17.83009812808749,23.031609045888093,12.99872265698189,17.953476610319157,3
YDL001W,,23.419421708806446,12.492735278008945,17.956078493407695,2
